LISA liso
SHAW shaw
, ,
DA de_o
BBC bbc
, ,
MORRE morre
COM com
COÁGULO coágulo
NA na
CABEÇA cabeça
PÓS pós
VACINA vacina
COVID covid
O o
legista legista
do de_o
Reino reino
Unido unido
descobre descobrir
que que
Lisa lisa
Shaw shaw
, ,
da de_o
BBC bbc
, ,
morreu morrer
após após
desenvolver desenvolver
coágulos coágulo
sanguíneos sanguíneo
no em_o
cérebro cérebro
causados causar
​​por ​​por
uma um
vacina vacina
de de
Covid covid
. .
bbc bbc
. .
com com
/ /
news news
/ /
uk-englan uk-englan
… …
https://t.co/2229zG7jcV https://t.co/2229zg7jcv
