@oproprioallan twitterhandle
JOVENS jovens
E e
CRIANÇAS crianças
ESTÃO estão
MORRENDO morrendo
por por
causa causa
dessas de_esse
novas novo
vacinas vacina
OBRIGATÓRIAS obrigatórias
QUE que
ELE ele
ASSINOU assinar
e e
, ,
até até
agora agora
, ,
ele ele
não não
foi ser
a a
público público
avisar avisar
o o
povo povo
do de_o
perigo perigo
dos de_o
efeitos efeito
colaterais colateral
p p
as o
pessoas pessoa
tomarem tomar
CONSCIENTES consciente
de de
que que
pode poder
dar dar
problema problema
. .
Nunca nunca
vi ver
tamanha tamanha
covardia covardia
. .
Isso isso
é ser
um um
CRIME crime
! !
