Fábio fábio
Lucas lucas
era ser
professor professor
e e
Fisioculturista fisioculturista
. .
Tomou tomar
as o
1as 1as
. .
Doses dose
( (
Pfz pfz
) )
em em
21 21
e e
o o
reforço reforço
há haver
poucas pouco
semanas semana
. .
Teve ter
um um
infarto infarto
fulminante fulminante
em em
16 16
/ /
07 @card@
/ /
22 22
, ,
dentro dentro
da de_o
academia academia
. .
A o
OMS oms
já já
publicou publicar
estudos estudo
indicando indicar
os o
riscos risco
de de
problemas problema
cardíacos cardíaco
após após
o o
experimento experimento
. .
Segue seguir
. .
. .
. .
https://t.co/bwh5ppOhrP https://t.co/bwh5ppohrp
