Eu eu
não não
posso poder
acreditar acreditar
que que
meu meu
marido marido
tomou tomar
sua seu
#vacina #vacina
contra contra
covid covid
e e
agora agora
tem ter
um um
coágulo coágulo
de de
sangue sangue
na em_o
perna perna
novamente novamente
. .
Toda todo
vez vez
que que
ele ele
toma tomar
uma um
vacina vacina
contra contra
covid covid
ele ele
tem ter
coágulos coágulo
sanguíneos sanguíneo
. .
facebook facebook
. .
com com
/ /
10000019564042 @card@
… …
https://t.co/7GzkiXjvgM https://t.co/7gzkixjvgm
