Vamos ir
aos a_o
fatos fato
: :
O o
vírus vírus
foi ser
feito fazer
em em
laboratório laboratório
; ;
Máscara máscara
e e
lockdown lockdown
são ser
inúteis inútil
; ;
Vacinas vacina
têm ter
eficácia eficácia
duvidosa duvidoso
e e
efeitos efeito
colaterais colateral
perigosos perigoso
; ;
A o
letalidade letalidade
é ser
baixa baixo
em em
pessoas pessoa
saudáveis saudável
; ;
A o
imprensa imprensa
mente mentar
; ;
Muitos muito
roubaram roubar
durante durante
pandemia pandemia
; ;
O o
tratamento tratamento
precoce precoce
salva salvar
vidas vida
; ;
