@michelleatchi15 twitterhandle
Estudo estudo
concluiu concluir
q q
syringe_e syringe_e
pode poder
provocar provocar
hepatite hepatite
imunomediada imunomediar
por por
células célula
T t
induzida induzir
pelo por_o
antígeno antígeno
vacinal vacinal
. .
OMS oms
emitiu emitir
alerta alerta
global global
sobre sobre
nova novo
hepatite hepatite
grave grave
em em
crianças criança
. .
Reino reino
Unido unido
anunciou anunciar
investigação investigação
após após
taxas taxa
+ +
altas alta
de de
inflamação inflamação
do de_o
fígado fígado
em em
crianças criança
dailyexpose dailyexpose
. .
uk uk
/ /
2022 @card@
/ /
04 @card@
/ /
28 28
/ /
new new
… …
